Description,Ticker,Field ID,Field Mnemonic,Data State,4/1/2020,3/1/2020,2/1/2020,1/1/2020,12/1/2019,11/1/2019,10/1/2019,9/1/2019,8/1/2019,7/1/2019,6/1/2019
"        Card Shops, Gift, Novelty, and Souvenir Shops",DVG CARD Index,PR005,PX_LAST,Dynamic,-86.29600055,-39.88217433,8.701354721,9.28281802,7.382647222,3.216972889,6.495326945,8.070065161,8.93450536,6.318162342,7.412974736
        Glassware/Crystal Stores,DVG CRYS Index,PR005,PX_LAST,Dynamic,-83.4040251,,-4.995896291,4.880521999,0.037422276,-12.02060484,-5.075826373,-6.60258401,-2.0732785,-0.572633281,0.346047058
        Cosmetic Stores,DVG COSM Index,PR005,PX_LAST,Dynamic,-76.08183658,,2.070242327,4.69282625,-2.466875556,-3.978545955,-0.579625799,1.078729001,0.109776965,2.773876127,4.894509758
        Cigar Stores and Stands,DVG CIGR Index,PR005,PX_LAST,Dynamic,-25.30915303,-1.19095876,-2.023040532,0.545168956,-0.86072969,0.29029049,-0.83478865,0.609107362,4.597842201,5.27876334,6.242907701
"        Lodging – Hotels, Motels, Resorts, Central Reserv Services",DVG LDGE Index,PR005,PX_LAST,Dynamic,-90.22515223,-51.1409131,-0.865025308,1.168930712,1.518077192,-1.13788423,0.459400061,0.149244932,1.160698162,-0.000419309,1.150742913
"        Membership Clubs, Country Clubs, Private Golf Courses",DVG MCLB Index,PR005,PX_LAST,Dynamic,-77.47717094,-24.92893885,0.115070937,0.528913571,-1.830622823,-0.400411995,-0.031960134,-3.506262577,0.770342914,-2.818222342,-4.151795348
        Building Material & Garden Equip & Supply Dealers,DVGNBUSU Index,PR005,PX_LAST,Dynamic,-11.78538685,-0.838155275,3.920881044,1.060456254,3.34921921,2.750305801,3.204749452,2.939087105,3.828209919,2.077257269,3.305300958
        Furniture/Home Furnishings/Furnishing Specialty,DVGNHOFU Index,PR005,PX_LAST,Dynamic,-60.81525267,-22.67602602,-0.167083526,0.845759453,-0.496514888,-1.606816232,-2.447615213,-2.623607943,-2.784675306,-3.423765667,-3.301807808
,,,,Static,,,,,,,,,,,
,,,,,,,,,,,,,,,
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
